,Friedman_Stat
4260509,1.0833333333333144
4277808,6.083333333333314
4277809,2.3333333333333144
4277810,2.0833333333333144
4277990,1.5833333333333144
4277991,2.25
4277992,1.0833333333333144
4291450,1.0
4291631,3.0833333333333144
4291632,2.25
4291812,3.5833333333333144
4291813,1.5833333333333144
4291995,1.3333333333333144
4300185,2.25
4331306,1.3333333333333144
4331307,1.5833333333333144
4331308,7.583333333333314
4331489,1.3333333333333144
4331672,1.0
4339679,0.08333333333331439
4339860,0.3333333333333144
4339861,2.3333333333333144
4370983,0.3333333333333144
4371166,1.5833333333333144
4379536,0.25
4419031,0.25
4458525,2.5833333333333144
4458706,0.75
4458707,1.75
4498201,2.3333333333333144
4498382,1.0
4498383,0.5833333333333144
4498564,0.08333333333331439
4613192,2.5833333333333144
4652868,1.0833333333333144
4692544,0.5833333333333144
4732220,0.25
4732402,0.5833333333333144
4771897,1.5833333333333144
4772078,0.08333333333331439
4772260,0.3333333333333144
4811573,0.08333333333331439
4811754,0.25
4811936,0.25
4851249,0.0
4851430,2.5833333333333144
4851431,0.5833333333333144
4890925,0.5833333333333144
4891107,1.75
4930783,1.0833333333333144
4977771,0.5833333333333144
4977952,0.08333333333331439
4977953,0.3333333333333144
4978134,1.3333333333333144
4978135,1.0833333333333144
4979563,1.0833333333333144
4979745,0.5833333333333144
4980290,2.3333333333333144
4980472,7.0
4980652,0.3333333333333144
4980654,2.3333333333333144
4980834,3.5833333333333144
4980835,3.5833333333333144
4980836,0.5833333333333144
4981016,1.3333333333333144
4981017,1.5833333333333144
5017083,0.5833333333333144
5017265,1.3333333333333144
5017446,1.5833333333333144
5017447,1.0833333333333144
5017628,2.0833333333333144
5017629,0.3333333333333144
5017809,1.0
5017810,0.5833333333333144
5017990,0.5833333333333144
5017991,0.3333333333333144
5017992,3.25
5018695,3.25
5018876,3.0
5018877,1.5833333333333144
5020330,3.0833333333333144
5020512,1.3333333333333144
5056577,1.75
5057121,0.25
5057122,1.0833333333333144
5057123,2.5833333333333144
5057280,4.0
5057303,1.75
5057304,0.5833333333333144
5057462,6.083333333333314
5057484,1.0833333333333144
5057485,1.0833333333333144
5057644,7.583333333333314
5057666,1.0833333333333144
5057667,3.5833333333333144
5057826,2.0833333333333144
5057827,0.08333333333331439
5057848,0.5833333333333144
5058007,1.5833333333333144
5058008,1.3333333333333144
5058009,0.5833333333333144
5058189,1.5833333333333144
5058190,1.3333333333333144
5058191,0.0
5058372,1.0833333333333144
5096413,3.25
5096594,2.3333333333333144
5096595,1.5833333333333144
5096775,0.25
5096776,0.3333333333333144
5096957,1.75
5096958,0.5833333333333144
5096978,1.5833333333333144
5096979,1.75
5097139,0.25
5097140,0.25
5097159,2.0833333333333144
5097160,3.0833333333333144
5097161,2.0833333333333144
5097322,1.5833333333333144
5097342,1.75
5097504,0.08333333333331439
5136472,1.75
5136653,6.25
5136654,4.083333333333314
5136655,1.0833333333333144
5136835,2.5833333333333144
5136836,2.0833333333333144
5176147,1.5833333333333144
5176148,1.3333333333333144
5176329,2.3333333333333144
5176330,3.5833333333333144
5176511,6.25
5253677,1.75
5253678,3.0833333333333144
5253855,0.25
5253856,0.3333333333333144
