,roi,p_value
104,FuG_L_3_2,0.4013010126611172
105,FuG_R_3_2,0.06462651944020957
106,FuG_L_3_3,0.5682366036329867
107,FuG_R_3_3,0.5682366036329867
108,PhG_L_6_1,
109,PhG_R_6_1,0.367879441171624
110,PhG_L_6_2,0.3011942119122051
111,PhG_R_6_2,0.367879441171624
112,PhG_L_6_3,0.9574533680683832
113,PhG_R_6_3,0.4377589088697885
114,PhG_L_6_4,
115,PhG_R_6_4,
116,PhG_L_6_5,
117,PhG_R_6_5,
118,PhG_L_6_6,0.2090425641976615
119,PhG_R_6_6,0.03672315391132588
120,pSTS_L_2_1,0.30915483498901947
121,pSTS_R_2_1,0.49874907076230013
122,pSTS_L_2_2,0.9574533680683832
123,pSTS_R_2_2,0.4377589088697885
124,SPL_L_5_1,0.5682366036329867
125,SPR_R_5_1,0.08388899270179818
126,SPL_L_5_2,0.5682366036329867
127,SPR_R_5_2,0.8403699701309062
128,SPL_L_5_3,0.20014850716070218
129,SPR_R_5_3,0.296001338014862
130,SPL_L_5_4,0.07049779029112194
131,SPR_R_5_4,0.7376042638218393
132,SPL_L_5_5,0.8777137332821888
133,SPR_R_5_5,0.4013010126611172
134,IPL_L_6_1,0.4377589088697885
135,IPR_R_6_1,0.7376042638218393
136,IPL_L_6_2,0.5934874977560287
137,IPR_R_6_2,0.9574533680683832
138,IPL_L_6_3,0.6761743325317434
139,IPR_R_6_3,0.6761743325317434
140,IPL_L_6_4,0.6761743325317434
141,IPR_R_6_4,0.4013010126611172
142,IPL_L_6_5,0.25980443944554016
143,IPR_R_6_5,0.49874907076230013
144,IPL_L_6_6,0.07049779029112194
145,IPR_R_6_6,0.6761743325317434
146,PCun_L_4_1,0.9574533680683832
147,PCun_R_4_1,0.8777137332821888
148,PCun_L_4_2,0.5682366036329867
149,PCun_R_4_2,0.5682366036329867
150,PCun_L_4_3,0.4013010126611172
151,PCun_R_4_3,0.9574533680683832
152,PCun_L_4_4,0.6761743325317434
153,PCun_R_4_4,0.6761743325317434
154,PoG_L_4_1,0.6761743325317434
155,PoG_R_4_1,0.6761743325317434
156,PoG_L_4_2,0.5682366036329867
157,PoG_R_4_2,0.05431018621163179
158,PoG_L_4_3,0.18347952943681112
159,PoG_R_4_3,0.5682366036329867
160,PoG_L_4_4,0.7376042638218393
161,PoG_R_4_4,0.25980443944554016
162,INS_L_6_1,0.7376042638218393
163,INS_R_6_1,0.6761743325317434
164,INS_L_6_2,0.49874907076230013
165,INS_R_6_2,0.5934874977560287
166,INS_L_6_3,0.10425978464335212
167,INS_R_6_3,0.4013010126611172
168,INS_L_6_4,0.8777137332821888
169,INS_R_6_4,0.25980443944554016
170,INS_L_6_5,0.20014850716070218
171,INS_R_6_5,0.25980443944554016
172,INS_L_6_6,0.4377589088697885
173,INS_R_6_6,0.9574533680683832
174,CG_L_7_1,0.9574533680683832
175,CG_R_7_1,0.4013010126611172
176,CG_L_7_2,0.08388899270179818
177,CG_R_7_2,0.25980443944554016
178,CG_L_7_3,0.8403699701309062
179,CG_R_7_3,0.9574533680683832
180,CG_L_7_4,0.5934874977560287
181,CG_R_7_4,0.5682366036329867
182,CG_L_7_5,0.2090425641976615
183,CG_R_7_5,0.7376042638218393
184,CG_L_7_6,0.6761743325317434
185,CG_R_7_6,0.8403699701309062
186,CG_L_7_7,0.4377589088697885
187,CG_R_7_7,0.4377589088697885
188,MVOcC _L_5_1,0.4377589088697885
189,MVOcC _R_5_1,0.8403699701309062
190,MVOcC _L_5_2,0.8777137332821888
191,MVOcC _R_5_2,0.5934874977560287
192,MVOcC _L_5_3,0.5682366036329867
193,MVOcC _R_5_3,0.4377589088697885
194,MVOcC _L_5_4,0.7376042638218393
195,MVOcC _R_5_4,0.9574533680683832
196,MVOcC _L_5_5,0.5682366036329867
197,MVOcC _R_5_5,0.10425978464335212
198,LOcC_L_4_1,0.7376042638218393
199,ROcC_R_4_1,0.7376042638218393
200,LOcC _L_4_2,0.25980443944554016
201,ROcC _R_4_2,0.7376042638218393
202,LOcC _L_4_3,0.5934874977560287
203,ROcC _R_4_3,0.6761743325317434
204,LOcC_L_4_4,0.6761743325317434
205,ROcC_R_4_4,0.5682366036329867
206,LOcC_L_2_1,0.5682366036329867
207,ROcC_R_2_1,0.8403699701309062
208,LOcC_L_2_2,0.4377589088697885
209,ROcC_R_2_2,0.4013010126611172
210,Tha_L,0.5682366036329867
211,Caud_L,0.9574533680683832
212,Put_L,1.0
213,Palli_L,0.9574533680683832
214,Brainstem,0.5682366036329867
215,Hipp_L,0.9574533680683832
216,Amyg_L,0.49874907076230013
217,Accum_L,0.8777137332821888
218,Tha_R,0.6761743325317434
219,Caud_R,0.12406414835017408
220,Put_R,0.18347952943681112
221,Palli_R,0.04438105770969705
222,Hipp_R,0.5934874977560287
223,Amyg_R,
224,Accum_R,0.025177156546593173
