,roi,statistic
189,MVOcC _R_5_1,0.34782608695650197
190,MVOcC _L_5_2,0.2608695652173765
191,MVOcC _R_5_2,1.0434782608695627
192,MVOcC _L_5_3,1.1304347826086882
193,MVOcC _R_5_3,1.652173913043498
194,MVOcC _L_5_4,0.6086956521738784
195,MVOcC _R_5_4,0.08695652173912549
196,MVOcC _L_5_5,1.1304347826086882
197,MVOcC _R_5_5,4.521739130434753
198,LOcC_L_4_1,0.6086956521738784
199,ROcC_R_4_1,0.6086956521738784
200,LOcC _L_4_2,2.695652173913061
201,ROcC _R_4_2,0.6086956521738784
202,LOcC _L_4_3,1.0434782608695627
203,ROcC _R_4_3,0.7826086956521863
204,LOcC_L_4_4,0.7826086956521863
205,ROcC_R_4_4,1.1304347826086882
206,LOcC_L_2_1,1.1304347826086882
207,ROcC_R_2_1,0.34782608695650197
208,LOcC_L_2_2,1.652173913043498
209,ROcC_R_2_2,1.826086956521749
210,Tha_L,1.1304347826086882
211,Caud_L,0.08695652173912549
212,Put_L,0.0
213,Palli_L,0.08695652173912549
214,Brainstem,1.1304347826086882
215,Hipp_L,0.08695652173912549
216,Amyg_L,1.3913043478260647
217,Accum_L,0.2608695652173765
218,Tha_R,0.7826086956521863
219,Caud_R,4.173913043478251
220,Put_R,3.3913043478260647
221,Palli_R,6.2298850574712406
222,Hipp_R,1.0434782608695627
223,Amyg_R,
224,Accum_R,7.363636363636361
